original_name,original_url,POWO_accepted,POWO_name,Names equal?,POWO_rank,POWO_url,POWO_url_full
Aira caryophyllea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:390804,TRUE,Aira caryophyllea,TRUE,Species,/taxon/urn:lsid:ipni.org:names:386633-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386633-1
Ajuga genevensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5266,TRUE,Ajuga genevensis,TRUE,Species,/taxon/urn:lsid:ipni.org:names:444576-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444576-1
Ajuga genevensis var. elatior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:371065,TRUE,Ajuga genevensis,FALSE,Species,/taxon/urn:lsid:ipni.org:names:444576-1,
Ajuga reptans,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5385,TRUE,Scutellaria galericulata,FALSE,Species,/taxon/urn:lsid:ipni.org:names:458280-1,
Alchemilla glaucescens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2939395,TRUE,Alchemilla glaucescens,TRUE,Species,/taxon/urn:lsid:ipni.org:names:720605-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:720605-1
Alchemilla montana var. glaucescens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2939877,TRUE,Alchemilla glaucescens,FALSE,Species,/taxon/urn:lsid:ipni.org:names:720605-1,
Alchemilla vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2940791,TRUE,Alchemilla vulgaris,TRUE,Species,/taxon/urn:lsid:ipni.org:names:721079-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721079-1
Alchemilla vulgaris var. glaucescens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2940887,TRUE,Alchemilla glaucescens,FALSE,Species,/taxon/urn:lsid:ipni.org:names:720605-1,
Alchemilla vulgaris var. typica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2941092,TRUE,Alchemilla vulgaris,FALSE,Species,/taxon/urn:lsid:ipni.org:names:721079-1,
Allium oleraceum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296142,TRUE,Himantoglossum,FALSE,Genus,/taxon/urn:lsid:ipni.org:names:331210-2,
Allium oleraceum var. latifolium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:342195,TRUE,Allium oleraceum,FALSE,Species,/taxon/urn:lsid:ipni.org:names:528525-1,
Allium schoenoprasum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296525,TRUE,Allium schoenoprasum,TRUE,Species,/taxon/urn:lsid:ipni.org:names:528823-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:528823-1
Allium schoenoprasum var. latiorifolium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296534,TRUE,Allium schoenoprasum,FALSE,Species,/taxon/urn:lsid:ipni.org:names:528823-1,
Allium vineale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296924,TRUE,Allium vineale,TRUE,Species,/taxon/urn:lsid:ipni.org:names:529111-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:529111-1
Allium vineale subvar. compactum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:499698,TRUE,Allium vineale,FALSE,Species,/taxon/urn:lsid:ipni.org:names:529111-1,
Allophylus pinnatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2629480,TRUE,Allophylus pinnatus,TRUE,Species,/taxon/urn:lsid:ipni.org:names:781896-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781896-1
Alnus glutinosa fo. laciniata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:342778,not found,not found,FALSE,not found,not found,
